,Original,Standardized
420,Primary Biliary Cirrhosis,Primary Biliary Cirrhosis
421,Gastroesophageal Reflux,Gastroesophageal Reflux
422,Post Traumatic Stress Disorder,Post Traumatic Stress Disorder
423,"AML, Adult","AML, Adult"
424,Non-small Cell Lung Cancer Metastatic,Non-small Cell Lung Cancer Metastatic
425,Recurrent Non-small Cell Lung Cancer; Stage IIIB Non-small Cell Lung Cancer; Stage IV Non-small Cell Lung Cancer,Advanced Non-Small Cell Lung Cancer
426,Severe Aplastic Anemia,Severe Aplastic Anemia
427,Bladder Cancer; Transitional Cell Cancer of the Renal Pelvis and Ureter; Urethral Cancer,Urinary Tract Cancers
428,Total Knee Arthroplasty,Total Knee Arthroplasty
429,Hodgkin's Lymphoma,Hodgkin's Lymphoma
430,Acute Leukemia,Acute Leukemia
431,Posttraumatic Stress Disorder,Posttraumatic Stress Disorder
432,Cancer Metastatic,Cancer Metastatic
433,"Kidney Failure, Chronic","Kidney Failure, Chronic"
434,Lymphoblastic Lymphoma,Lymphoblastic Lymphoma
435,Childhood Obesity,Childhood Obesity
436,Atherosclerosis,Atherosclerosis
437,Fatty Liver,Fatty Liver
438,MDS,MDS
439,"Myelodysplastic Syndromes; Leukemia, Myelomonocytic, Chronic","Myelodysplastic Syndromes; Leukemia, Myelomonocytic, Chronic"
440,Advanced Pancreatic Cancer,Advanced Pancreatic Cancer
441,Triple Negative Breast Neoplasms,Triple Negative Breast Neoplasms
442,Physical Activity,Physical Activity
443,Chronic Lymphocytic Leukemia (CLL),Chronic Lymphocytic Leukemia (CLL)
444,Prurigo Nodularis,Prurigo Nodularis
445,Pancreas Cancer,Pancreas Cancer
446,Central Nervous System Lymphoma,Central Nervous System Lymphoma
447,Plasma Cell Myeloma,Plasma Cell Myeloma
448,Acute Myeloid Leukemia; Recurrent Acute Myeloid Leukemia; Refractory Acute Myeloid Leukemia,Acute Myeloid Leukemia; Recurrent Acute Myeloid Leukemia; Refractory Acute Myeloid Leukemia
449,Endothelial Dysfunction,Peripheral Arterial Disease
450,Drug Interaction,Drug Interaction
451,Spinal Cord Injury,Spinal Cord Injury
452,Alcohol Dependence,Alcohol Dependence
453,GERD,GERD
454,Liver Cirrhosis,Liver Cirrhosis
455,Renal Impairment,Renal Impairment
456,Myelodysplastic Syndrome (MDS),Acute Myeloid Leukemia and Myelodysplastic Syndromes
457,"Osteoarthritis, Knee; Osteoarthritis, Hip","Osteoarthritis, Knee; Osteoarthritis, Hip"
458,Common Cold,Common Cold
459,Intracerebral Hemorrhage,Intracerebral Hemorrhage
460,Labor Pain,Labor Pain
461,Mucositis,Mucositis
462,Classical Hodgkin Lymphoma,Classical Hodgkin Lymphoma
463,Peptic Ulcer Hemorrhage,Peptic Ulcer Hemorrhage
464,Axial Spondyloarthritis,Axial Spondyloarthritis
465,Uveitis,Uveitis
466,Hepatic Insufficiency,Hepatic Insufficiency
467,"Acute Lymphoblastic Leukemia ALL; Childhood Leukemia, Acute Lymphoblastic; B Cell Acute Lymphoblastic Leukemia (B-ALL)","Acute Lymphoblastic Leukemia ALL; Childhood Leukemia, Acute Lymphoblastic; B Cell Acute Lymphoblastic Leukemia (B-ALL)"
468,Squamous Cell Carcinoma of Head and Neck,Squamous Cell Carcinoma of Head and Neck
469,Medulloblastoma,Medulloblastoma
470,"Infection, Human Immunodeficiency Virus; HIV Infections","Infection, Human Immunodeficiency Virus; HIV Infections"
471,Advanced Parkinson's Disease,Advanced Parkinson's Disease
472,Pneumonia,Pneumonia
473,Acute Pain,Acute Pain
474,Neoplasm Metastasis,Neoplasm Metastasis
475,Malignant Neoplasm,Malignant Neoplasm
476,Rhabdomyosarcoma,Rhabdomyosarcoma
477,Alcoholic Hepatitis,Alcoholic Hepatitis
478,Cirrhosis,Cirrhosis
479,Osteo Arthritis Knee,Knee Osteoarthritis
480,Neonatal Abstinence Syndrome,Neonatal Abstinence Syndrome
481,Prostate Neoplasms,Prostate Neoplasms
482,Acute Lymphoblastic Leukemia; Lymphoblastic Lymphoma,Acute Lymphoblastic Leukemia; Lymphoblastic Lymphoma
483,Headache,Headache
484,Non-alcoholic Fatty Liver Disease,Non-alcoholic Fatty Liver Disease
485,Newly Diagnosed Multiple Myeloma,Newly Diagnosed Multiple Myeloma
486,Gingivitis,Gingivitis
487,Non-Hodgkin Lymphoma,Non-Hodgkin Lymphoma
488,Adult Acute Lymphocytic Leukemia,Adult Acute Lymphocytic Leukemia
489,"Hepatitis B, Chronic",Chronic Hepatitis B
490,"Lymphoma, Follicular","Lymphoma, Follicular"
491,Sedation,Sedation
492,Recurrent Adult Acute Myeloid Leukemia; Refractory Acute Myeloid Leukemia,Recurrent/Refractory Acute Myeloid Leukemia
493,"Glaucoma, Open-Angle; Ocular Hypertension","Glaucoma, Open-Angle; Ocular Hypertension"
494,Infection,Infection
495,Advanced Gastrointestinal Stromal Tumor,Advanced Gastrointestinal Stromal Tumor
496,Achilles Tendon Rupture,Achilles Tendon Rupture
497,Myopia,Myopia
498,Hairy Cell Leukemia,Hairy Cell Leukemia
499,Functional Dyspepsia,Functional Dyspepsia
500,Breast Cancer; Gastrointestinal Cancer; Non Small Cell Lung Cancer; Other Cancer,Multiple Cancer Types
501,Advanced Hepatocellular Carcinoma,Advanced Hepatocellular Carcinoma
502,Quality of Life,Quality of Life
503,Renal Cell Cancer,Renal Cell Cancer
504,Lung Adenocarcinoma,Lung Adenocarcinoma
505,Overweight and Obesity,Overweight and Obesity
506,Diabetic Neuropathies,Diabetic Neuropathies
507,Bacteremia,Bacteremia
508,Urothelial Carcinoma,Urothelial Carcinoma
509,"Leukemia, Promyelocytic, Acute","Leukemia, Promyelocytic, Acute"
510,Type II Diabetes Mellitus,Type II Diabetes Mellitus
511,Onchocerciasis,Onchocerciasis
512,Preeclampsia,Preeclampsia
513,Aortic Valve Stenosis,Aortic Valve Stenosis
514,Chronic Heart Failure,Chronic Heart Failure
515,Advanced Cancer; Solid Tumor; Haematological Malignancy,Advanced Cancer; Solid Tumor; Haematological Malignancy
516,Autism; Autism Spectrum Disorder,Autism; Autism Spectrum Disorder
517,Leukemia; Neutropenia,Leukemia with Neutropenia
518,Bronchial Asthma,Bronchial Asthma
519,Invasive Fungal Infection,Invasive Fungal Infection
520,Drug Interactions,Drug Interactions
521,Stomach Neoplasm,Stomach Neoplasm
522,Malignant Mesothelioma,Malignant Mesothelioma
523,Adenocarcinoma of the Prostate,Adenocarcinoma of the Prostate
524,Malignant Pleural Effusion,Malignant Pleural Effusion
525,HIV Infections; Malaria,HIV Infections and Malaria
526,COVID19,COVID19
527,Healthy Male Volunteers,Healthy Male Volunteers
528,Autism,Autism
529,Hypertriglyceridemia,Hypertriglyceridemia
530,Ischemic Heart Disease,Ischemic Heart Disease
531,Castration-resistant Prostate Cancer,Castration-resistant Prostate Cancer
532,Arthritis,Arthritis
533,Chronic Graft Versus Host Disease,Chronic Graft Versus Host Disease
534,Untreated Adult Acute Myeloid Leukemia,Untreated Adult Acute Myeloid Leukemia
535,Intrahepatic Cholangiocarcinoma,Intrahepatic Cholangiocarcinoma
536,Waldenstrom's Macroglobulinemia,Waldenstrom's Macroglobulinemia
537,Idiopathic Parkinson's Disease,Idiopathic Parkinson's Disease
538,Stage I Multiple Myeloma; Stage II Multiple Myeloma; Stage III Multiple Myeloma,Stage I Multiple Myeloma; Stage II Multiple Myeloma; Stage III Multiple Myeloma
539,Hepatocellular Carcinoma (HCC),Hepatocellular Carcinoma (HCC)
540,"Carcinoma, Pancreatic Ductal",Pancreatic Ductal Carcinoma
541,Carcinoma,Carcinoma
542,Chemotherapy Induced Nausea and Vomiting,Chemotherapy Induced Nausea and Vomiting
543,Type2 Diabetes Mellitus,Type2 Diabetes Mellitus
544,Colorectal Cancer; Liver Metastases,Colorectal Cancer; Liver Metastases
545,Aspergillosis,Aspergillosis
546,Sleep,Sleep Disorders
547,Peripheral Neuropathy,Peripheral Neuropathy
548,Helicobacter Infections,Helicobacter Infections
549,Adult Solid Neoplasm,Adult Solid Neoplasm
550,Chronic Periodontitis,Chronic Periodontitis
551,Hepatitis B,Hepatitis B
552,Tuberculosis; HIV,Tuberculosis with HIV
553,Hip Fractures,Hip Fractures
554,Advanced Malignant Solid Tumors,Solid Tumor Malignancy
555,Heart Failure With Preserved Ejection Fraction,Heart Failure With Preserved Ejection Fraction
556,Non Hodgkin Lymphoma,Non Hodgkin Lymphoma
557,Chronic Low-back Pain,Chronic Low-back Pain
558,Myasthenia Gravis,Myasthenia Gravis
559,DLBCL,DLBCL
560,Eating Disorders,Eating Disorders
561,Relapsed/Refractory Acute Myeloid Leukaemia; Myeloid Malignancy,Relapsed/Refractory Acute Myeloid Leukaemia; Myeloid Malignancy
562,Small Cell Lung Carcinoma,Small Cell Lung Carcinoma
563,"Diabetes; Diabetes Mellitus, Type 2","Diabetes Mellitus, Type 2"
564,Relapsed/Refractory AML,Relapsed/Refractory AML
565,Breast Carcinoma,Breast Carcinoma
566,Dysmenorrhea,Dysmenorrhea
567,Bioavailability,Bioavailability
568,Cataracts,Cataracts
569,Acute Myeloid Leukemia With Multilineage Dysplasia Following Myelodysplastic Syndrome; Adult Acute Megakaryoblastic Leukemia (M7); Adult Acute Minimally Differentiated Myeloid Leukemia (M0); Adult Acute Monoblastic Leukemia (M5a); Adult Acute Monocytic Leukemia (M5b); Adult Acute Myeloblastic Leukemia With Maturation (M2); Adult Acute Myeloblastic Leukemia Without Maturation (M1); Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities; Adult Acute Myeloid Leukemia With Del(5q); Adult Acute Myeloid Leukemia With Inv(16)(p13;q22); Adult Acute Myeloid Leukemia With t(16;16)(p13;q22); Adult Acute Myeloid Leukemia With t(8;21)(q22;q22); Adult Acute Myelomonocytic Leukemia (M4); Adult Erythroleukemia (M6a); Adult Pure Erythroid Leukemia (M6b); Secondary Acute Myeloid Leukemia; Untreated Adult Acute Myeloid Leukemia,Acute Myeloid Leukemia With Multilineage Dysplasia Following Myelodysplastic Syndrome; Adult Acute Megakaryoblastic Leukemia (M7); Adult Acute Minimally Differentiated Myeloid Leukemia (M0); Adult Acute Monoblastic Leukemia (M5a); Adult Acute Monocytic Leukemia (M5b); Adult Acute Myeloblastic Leukemia With Maturation (M2); Adult Acute Myeloblastic Leukemia Without Maturation (M1); Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities; Adult Acute Myeloid Leukemia With Del(5q); Adult Acute Myeloid Leukemia With Inv(16)(p13;q22); Adult Acute Myeloid Leukemia With t(16;16)(p13;q22); Adult Acute Myeloid Leukemia With t(8;21)(q22;q22); Adult Acute Myelomonocytic Leukemia (M4); Adult Erythroleukemia (M6a); Adult Pure Erythroid Leukemia (M6b); Secondary Acute Myeloid Leukemia; Untreated Adult Acute Myeloid Leukemia
570,Breast Cancer; HER2-positive Breast Cancer,Breast Cancer; HER2-positive Breast Cancer
571,"Acute Myeloid Leukemia; Leukemia, Acute Myeloid; Myeloid Leukemia, Acute; Leukemia, Myeloid, Acute; Acute Myelogenous Leukemia; Leukemia, Acute Myelogenous; Myelogenous Leukemia, Acute; AML; Bone Marrow Transplant","Acute Myeloid Leukemia; Leukemia, Acute Myeloid; Myeloid Leukemia, Acute; Leukemia, Myeloid, Acute; Acute Myelogenous Leukemia; Leukemia, Acute Myelogenous; Myelogenous Leukemia, Acute; AML; Bone Marrow Transplant"
572,Back Pain,Back Pain
573,Non-valvular Atrial Fibrillation,Non-valvular Atrial Fibrillation
574,Gastric Adenocarcinoma,Gastric Adenocarcinoma
575,Advanced Solid Tumours,Advanced Solid Tumors
576,Lateral Epicondylitis,Lateral Epicondylitis
577,"Arthritis, Juvenile Rheumatoid",Juvenile Rheumatoid Arthritis
578,Macular Degeneration,Macular Degeneration
579,Healthy Adults,Healthy Adults
580,Gulf War Illness,Gulf War Illness
581,Chronic Myelogenous Leukemia,Chronic Myelogenous Leukemia
582,"Lymphoma, Non-Hodgkin; HIV Infections",Non-Hodgkin Lymphoma with HIV
583,Shoulder Pain,Shoulder Pain
584,Gastrointestinal Stromal Tumor,Gastrointestinal Stromal Tumor
585,Esophageal Neoplasms,Esophageal Neoplasms
586,Acute Lymphoblastic Leukemia; Adult B Acute Lymphoblastic Leukemia; Childhood B Acute Lymphoblastic Leukemia,Acute Lymphoblastic Leukemia
587,"Diabetes Mellitus, Type 2; Cardiovascular Diseases",Type 2 Diabetes with Cardiovascular Disease
588,Metastatic Hormone-sensitive Prostate Cancer,Metastatic Hormone-sensitive Prostate Cancer
589,"Chronic Myeloid Leukemia, Chronic Phase",Chronic Myeloid Leukemia
590,Differentiated Thyroid Cancer,Differentiated Thyroid Cancer
591,Coronavirus Infection,Coronavirus Infection
592,HIV; HIV Infections,HIV; HIV Infections
593,"Stroke, Acute",Acute Stroke
594,Advanced Lymphoma; Advanced Malignant Solid Neoplasm; Refractory Lymphoma; Refractory Malignant Solid Neoplasm; Refractory Multiple Myeloma,Advanced Solid Tumors
595,Epithelial Ovarian Cancer,Ovarian Cancer
596,Safety and Efficacy,Safety and Efficacy
597,Pancreatic Cancer; PDAC; PDAC - Pancreatic Ductal Adenocarcinoma,Pancreatic Ductal Adenocarcinoma
598,Cesarean Section,Cesarean Section
599,Hip Osteoarthritis,Hip Osteoarthritis
600,Chronic Plaque Psoriasis,Chronic Plaque Psoriasis
601,Hepatocellular Carcinoma Non-resectable,Hepatocellular Carcinoma Non-resectable
602,Healthy Aging,Healthy Aging
603,Gout; Hyperuricemia,Gout
604,Rotator Cuff Tear,Rotator Cuff Tear
605,Herpes Zoster,Herpes Zoster
606,Uveal Melanoma,Uveal Melanoma
607,Hip Fracture,Hip Fracture
608,"Lymphoma, B-Cell",B-Cell Lymphoma
609,Coronary Heart Disease,Coronary Heart Disease
610,Hematological Malignancies,Hematological Malignancies
611,Epidermolysis Bullosa,Epidermolysis Bullosa
612,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Precursor Cell Lymphoblastic Leukemia-Lymphoma
613,Non Small Cell Lung Carcinoma,Non Small Cell Lung Carcinoma
614,Emergence Delirium,Delirium
615,Waldenstrom Macroglobulinemia,Waldenstrom Macroglobulinemia
616,Metastatic Non Small Cell Lung Cancer,Metastatic Non Small Cell Lung Cancer
617,Alcohol Drinking,Alcohol Drinking
618,Metastatic Pancreatic Adenocarcinoma; Recurrent Pancreatic Carcinoma; Stage III Pancreatic Cancer; Stage IV Pancreatic Cancer,Metastatic Pancreatic Adenocarcinoma; Recurrent Pancreatic Carcinoma; Stage III Pancreatic Cancer; Stage IV Pancreatic Cancer
619,Advanced Breast Carcinoma; Advanced Malignant Solid Neoplasm; Advanced Ovarian Carcinoma; Advanced Pancreatic Carcinoma; Advanced Prostate Carcinoma; Advanced Sarcoma; Anatomic Stage III Breast Cancer AJCC V8; Anatomic Stage IV Breast Cancer AJCC V8; Stage III Ovarian Cancer AJCC V8; Stage III Pancreatic Cancer AJCC V8; Stage III Prostate Cancer AJCC V8; Stage IV Ovarian Cancer AJCC V8; Stage IV Pancreatic Cancer AJCC V8; Stage IV Prostate Cancer AJCC V8,Advanced Malignant Neoplasms
620,Advanced Malignant Solid Neoplasm; Ann Arbor Stage III Non-Hodgkin Lymphoma; Ann Arbor Stage IV Non-Hodgkin Lymphoma; Histiocytic Sarcoma; Juvenile Xanthogranuloma; Langerhans Cell Histiocytosis; Malignant Glioma; Recurrent Childhood Rhabdomyosarcoma; Recurrent Ependymoma; Recurrent Ewing Sarcoma; Recurrent Glioma; Recurrent Hepatoblastoma; Recurrent Langerhans Cell Histiocytosis; Recurrent Malignant Germ Cell Tumor; Recurrent Malignant Solid Neoplasm; Recurrent Medulloblastoma; Recurrent Neuroblastoma; Recurrent Non-Hodgkin Lymphoma; Recurrent Osteosarcoma; Recurrent Peripheral Primitive Neuroectodermal Tumor; Recurrent Primary Central Nervous System Neoplasm; Recurrent Rhabdoid Tumor; Recurrent Soft Tissue Sarcoma; Refractory Ewing Sarcoma; Refractory Glioma; Refractory Hepatoblastoma; Refractory Langerhans Cell Histiocytosis; Refractory Malignant Germ Cell Tumor; Refractory Malignant Solid Neoplasm; Refractory Medulloblastoma; Refractory Neuroblastoma; Refractory Non-Hodgkin Lymphoma; Refractory Osteosarcoma; Refractory Peripheral Primitive Neuroectodermal Tumor; Refractory Primary Central Nervous System Neoplasm; Refractory Rhabdoid Tumor; Refractory Rhabdomyosarcoma; Rhabdoid Tumor; Stage III Osteosarcoma AJCC v7; Stage III Soft Tissue Sarcoma AJCC v7; Stage IV Osteosarcoma AJCC v7; Stage IV Soft Tissue Sarcoma AJCC v7; Stage IVA Osteosarcoma AJCC v7; Stage IVB Osteosarcoma AJCC v7; Wilms Tumor,Advanced Pediatric Malignancies
621,IgA Nephropathy,Kidney Diseases
622,Retinitis Pigmentosa,Retinitis Pigmentosa
623,Solid Tumors Harboring NTRK Fusion,NTRK Fusion Solid Tumors
624,Myelodysplastic Syndromes (MDS),Myelodysplastic Syndromes (MDS)
625,Locally Advanced Thyroid Gland Carcinoma,Locally Advanced Thyroid Gland Carcinoma
626,"Leukemia, Acute Myeloid (AML)","Leukemia, Acute Myeloid (AML)"
627,Dental Implant,Dental Implant
628,Advanced Non-Small Cell Lung Cancer,Advanced Non-Small Cell Lung Cancer
629,Dementia; Depression; Schizophrenia; Psychosomatic Disorders; Anxiety Disorders,Mental Health Disorders
630,Rare Tumour,Rare Tumour
631,Periodontal Diseases,Periodontal Diseases
632,Cholera,Cholera
633,Amyloidosis,Amyloidosis
634,Huntington Disease,Huntington Disease
635,Advanced Malignant Solid Neoplasm; Anatomic Stage III Breast Cancer AJCC v8; Anatomic Stage IV Breast Cancer AJCC v8; Locally Advanced Malignant Solid Neoplasm; Malignant Female Reproductive System Neoplasm; Metastatic HER2-Negative Breast Carcinoma; Metastatic Malignant Solid Neoplasm; Recurrent Endometrial Carcinoma; Recurrent Fallopian Tube Carcinoma; Recurrent Malignant Female Reproductive System Neoplasm; Recurrent Malignant Solid Neoplasm; Recurrent Ovarian Carcinoma; Recurrent Primary Peritoneal Carcinoma; Unresectable HER2-Negative Breast Carcinoma; Unresectable Malignant Solid Neoplasm,Advanced Malignant Solid Neoplasm; Anatomic Stage III Breast Cancer AJCC v8; Anatomic Stage IV Breast Cancer AJCC v8; Locally Advanced Malignant Solid Neoplasm; Malignant Female Reproductive System Neoplasm; Metastatic HER2-Negative Breast Carcinoma; Metastatic Malignant Solid Neoplasm; Recurrent Endometrial Carcinoma; Recurrent Fallopian Tube Carcinoma; Recurrent Malignant Female Reproductive System Neoplasm; Recurrent Malignant Solid Neoplasm; Recurrent Ovarian Carcinoma; Recurrent Primary Peritoneal Carcinoma; Unresectable HER2-Negative Breast Carcinoma; Unresectable Malignant Solid Neoplasm
636,Hemophilia A,Hemophilia A
637,Paroxysmal Atrial Fibrillation,Paroxysmal Atrial Fibrillation
638,Mantle-Cell Lymphoma,Mantle-Cell Lymphoma
639,Schizophrenia; Psychotic Disorders,Schizophrenia and Psychotic Disorders
640,Relapsed or Refractory Multiple Myeloma,Relapsed or Refractory Multiple Myeloma
641,Malignant Solid Tumor,Malignant Solid Tumor
642,Acute Coronary Syndromes,Acute Coronary Syndromes
643,"Carcinoma, Non-Small Cell Lung","Carcinoma, Non-Small Cell Lung"
644,Gingival Recession,Gingival Recession
645,"Cirrhosis, Liver",Liver Cirrhosis
646,Dry Eye Syndrome,Dry Eye Syndrome
647,Brain Tumors,Brain Tumors
648,Rheumatoid Arthritis (RA),Rheumatoid Arthritis (RA)
649,Ewing's Sarcoma,Ewing's Sarcoma
650,Angioimmunoblastic T-cell Lymphoma,Angioimmunoblastic T-cell Lymphoma
651,Allergic Conjunctivitis,Allergic Conjunctivitis
652,Bleeding,Bleeding
653,Adverse Drug Event,Adverse Drug Reactions
654,B Acute Lymphoblastic Leukemia; B Lymphoblastic Lymphoma,B Acute Lymphoblastic Leukemia; B Lymphoblastic Lymphoma
655,Taste Disorders,Taste Disorders
656,Stage IV Non-small Cell Lung Cancer,Stage IV Non-small Cell Lung Cancer
657,Dyslipidemias,Dyslipidemias
658,Overactive Bladder,Overactive Bladder
659,Osteomyelitis,Osteomyelitis
660,Autism Spectrum Disorders,Autism Spectrum Disorders
661,Acute Lymphoblastic Leukemia; Adult B Acute Lymphoblastic Leukemia; Adult B Acute Lymphoblastic Leukemia With t(9;22)(q34.1;q11.2); BCR-ABL1; Adult L1 Acute Lymphoblastic Leukemia; Adult L2 Acute Lymphoblastic Leukemia; Adult T Acute Lymphoblastic Leukemia; Recurrent Adult Acute Lymphoblastic Leukemia,Acute Lymphoblastic Leukemia; Adult B Acute Lymphoblastic Leukemia; Adult B Acute Lymphoblastic Leukemia With t(9;22)(q34.1;q11.2); BCR-ABL1; Adult L1 Acute Lymphoblastic Leukemia; Adult L2 Acute Lymphoblastic Leukemia; Adult T Acute Lymphoblastic Leukemia; Recurrent Adult Acute Lymphoblastic Leukemia
662,Menopause,Menopause
663,Relapsed/Refractory Multiple Myeloma,Relapsed/Refractory Multiple Myeloma
664,Allergy,Allergy
665,Pain Management,Pain Management
666,Pleural Mesothelioma,Pleural Mesothelioma
667,Blastoid Variant Mantle Cell Lymphoma; Mantle Cell Lymphoma; Pleomorphic Variant Mantle Cell Lymphoma,Blastoid Variant Mantle Cell Lymphoma; Mantle Cell Lymphoma; Pleomorphic Variant Mantle Cell Lymphoma
668,NSCLC Stage IV,NSCLC Stage IV
669,Adhesive Capsulitis,Adhesive Capsulitis
670,Oncology,Oncology
671,Metastatic Colorectal Cancer (mCRC),Metastatic Colorectal Cancer (mCRC)
672,Onychomycosis,Onychomycosis
